model_version,checkpoint,metric_type,mean,std,min,max,count
attention-tuned,checkpoint-100,approach,2.65,1.027,1,4,40
attention-tuned,checkpoint-100,format,2.75,0.927,1,4,40
attention-tuned,checkpoint-100,logic,3.0,0.751,1,4,40
attention-tuned,checkpoint-100,tone,1.725,0.877,0,3,40
attention-tuned,checkpoint-300,approach,3.65,0.58,2,4,40
attention-tuned,checkpoint-300,format,3.75,0.588,1,4,40
attention-tuned,checkpoint-300,logic,3.65,0.58,2,4,40
attention-tuned,checkpoint-300,tone,3.15,0.834,1,4,40
attention-tuned,checkpoint-500,approach,3.75,0.494,2,4,40
attention-tuned,checkpoint-500,format,3.625,0.667,1,4,40
attention-tuned,checkpoint-500,logic,3.575,0.675,1,4,40
attention-tuned,checkpoint-500,tone,3.375,0.54,2,4,40
attention-tuned,checkpoint-700,approach,3.725,0.506,2,4,40
attention-tuned,checkpoint-700,format,3.475,0.784,1,4,40
attention-tuned,checkpoint-700,logic,3.7,0.516,2,4,40
attention-tuned,checkpoint-700,tone,3.425,0.549,2,4,40
attention-tuned,checkpoint-990,approach,3.7,0.464,3,4,40
attention-tuned,checkpoint-990,format,3.75,0.543,2,4,40
attention-tuned,checkpoint-990,logic,3.65,0.533,2,4,40
attention-tuned,checkpoint-990,tone,3.5,0.641,1,4,40
base,base,approach,3.675,0.474,3,4,40
base,base,format,3.325,0.797,1,4,40
base,base,logic,3.6,0.545,2,4,40
base,base,tone,2.125,0.723,1,3,40
standard-tuned,checkpoint-100,approach,3.125,1.042,0,4,40
standard-tuned,checkpoint-100,format,3.1,1.081,0,4,40
standard-tuned,checkpoint-100,logic,3.15,0.834,1,4,40
standard-tuned,checkpoint-100,tone,2.775,0.8,1,4,40
standard-tuned,checkpoint-300,approach,3.425,0.903,1,4,40
standard-tuned,checkpoint-300,format,3.65,0.893,1,4,40
standard-tuned,checkpoint-300,logic,3.325,0.997,1,4,40
standard-tuned,checkpoint-300,tone,3.25,0.588,2,4,40
standard-tuned,checkpoint-500,approach,3.025,1.271,0,4,40
standard-tuned,checkpoint-500,format,3.75,0.707,1,4,40
standard-tuned,checkpoint-500,logic,3.125,1.181,0,4,40
standard-tuned,checkpoint-500,tone,2.975,0.92,0,4,40
standard-tuned,checkpoint-700,approach,3.35,0.893,1,4,40
standard-tuned,checkpoint-700,format,3.65,0.7,2,4,40
standard-tuned,checkpoint-700,logic,3.2,1.018,1,4,40
standard-tuned,checkpoint-700,tone,3.0,0.716,1,4,40
standard-tuned,checkpoint-990,approach,3.3,0.992,0,4,40
standard-tuned,checkpoint-990,format,3.7,0.758,1,4,40
standard-tuned,checkpoint-990,logic,3.25,1.032,0,4,40
standard-tuned,checkpoint-990,tone,3.225,0.62,1,4,40
