QUESTION_ID,model_version,checkpoint,dialogue,tone_pair1,approach_pair1,format_pair1,logic_pair1,tone_pair2,approach_pair2,format_pair2,logic_pair2
1,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_1_20250212_204208.json,2,4,4,4,3,3,4,3
2,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_2_20250212_204228.json,2,3,2,3,2,3,2,4
3,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_3_20250212_204250.json,3,4,4,4,3,4,4,4
4,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_4_20250212_204311.json,1,3,2,4,1,2,2,3
5,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_5_20250212_204332.json,1,2,3,2,1,1,3,1
6,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_6_20250212_204351.json,3,2,1,1,3,4,1,3
7,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_7_20250213_013905.json,1,3,2,3,1,3,2,3
8,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_8_20250213_013918.json,1,3,4,4,2,1,4,2
9,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_9_20250213_013931.json,1,1,2,3,3,4,2,4
10,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_10_20250212_212805.json,3,4,2,3,2,3,2,3
11,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_11_20250217_182256.json,1,3,3,3,1,3,2,3
12,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_12_20250217_182313.json,2,4,4,3,1,1,4,3
13,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_13_20250217_182332.json,3,2,3,3,3,2,3,2
14,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_14_20250217_182347.json,1,3,2,3,2,3,2,4
15,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_15_20250217_182405.json,1,2,2,3,2,1,2,2
16,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_16_20250217_182423.json,1,4,3,3,0,3,3,3
17,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_17_20250217_182443.json,1,3,4,3,1,2,4,3
18,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_18_20250217_182505.json,1,2,3,3,2,3,4,4
19,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_19_20250217_182521.json,2,1,3,3,1,2,3,3
20,attention-tuned,checkpoint-100,dialogue_attention-tuned_checkpoint-100_20_20250217_182543.json,3,4,2,3,1,1,2,2
1,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_1_20250212_205054.json,3,4,4,4,3,3,4,3
2,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_2_20250212_205107.json,2,3,4,2,1,2,4,3
3,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_3_20250212_205122.json,3,3,4,3,3,2,4,2
4,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_4_20250212_205140.json,3,4,4,4,4,4,4,4
5,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_5_20250212_205153.json,1,0,3,1,1,0,0,1
6,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_6_20250212_205213.json,3,2,2,3,1,3,1,3
7,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_7_20250213_014406.json,3,4,2,3,3,3,2,4
8,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_8_20250213_014420.json,4,4,3,4,4,4,3,4
9,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_9_20250213_014448.json,3,4,2,4,2,2,2,3
10,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_10_20250213_014502.json,3,2,4,2,3,2,4,3
11,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_11_20250217_183744.json,4,4,4,3,3,3,4,4
12,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_12_20250217_183759.json,4,4,4,4,3,4,4,4
13,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_13_20250217_183818.json,3,4,2,3,3,2,2,3
14,standard-tuned,checkpoint-100,dialogue_standard-tuned_checkpoint-100_14_20250217_183833.json,3,3,2,3,3,3,2,3
